SORT TYPE,log 2,NUM ELEMENTS,NUM NODES,NUM THREADS,TOTAL CYCLES,WALL CLOCK TIME (s),,,,,,,,,
NETWORK,13,8192,4,4,63495075,2,,,NETWORK,11,2048,8,2,14105635,2
NETWORK,13,8192,4,8,36021673,2,,,NETWORK,11,2048,8,4,9089750,2
NETWORK,13,8192,4,16,25199738,2,,,NETWORK,11,2048,8,8,7239114,2
NETWORK,13,8192,4,32,31647294,3,,,NETWORK,11,2048,8,16,8270585,2
NETWORK,13,8192,8,1,123701081,2,,,NETWORK,11,2048,8,32,13070091,3
NETWORK,13,8192,8,2,64375230,2,,,NETWORK,11,2048,8,64,20590766,2
NETWORK,13,8192,8,4,35179695,2,,,NETWORK,12,4096,1,1,406177374,4
NETWORK,13,8192,8,8,21840510,2,,,NETWORK,12,4096,1,2,204636114,3
NETWORK,13,8192,8,16,17786019,3,,,NETWORK,12,4096,1,4,104469539,2
NETWORK,13,8192,8,32,28576238,4,,,NETWORK,12,4096,1,8,56680176,2
NETWORK,14,16384,1,1,2181503222,16,,,NETWORK,12,4096,1,16,35926735,2
NETWORK,14,16384,1,2,1095415226,9,,,NETWORK,12,4096,1,32,40012101,2
NETWORK,14,16384,1,4,554785502,5,,,NETWORK,12,4096,1,64,69422406,2
NETWORK,14,16384,1,8,293233500,4,,,NETWORK,12,4096,2,1,204518089,3
NETWORK,14,16384,1,16,171773288,3,,,NETWORK,12,4096,2,2,103554992,2
NETWORK,14,16384,1,32,164142140,3,,,NETWORK,12,4096,2,4,53642618,2
NETWORK,14,16384,2,1,1094031467,9,,,NETWORK,12,4096,2,8,30180668,2
NETWORK,14,16384,2,2,549915813,5,,,NETWORK,12,4096,2,16,20957576,2
NETWORK,14,16384,2,4,279272964,3,,,NETWORK,12,4096,2,32,26589273,2
NETWORK,14,16384,2,8,149160476,3,,,NETWORK,12,4096,2,64,47924453,2
NETWORK,14,16384,2,16,89893991,2,,,NETWORK,12,4096,4,1,104075094,2
NETWORK,14,16384,2,32,90871503,2,,,NETWORK,12,4096,4,2,53572184,2
NETWORK,14,16384,4,1,550601295,5,,,NETWORK,12,4096,4,4,28742532,2
NETWORK,14,16384,4,2,277756889,3,,,NETWORK,12,4096,4,8,17403513,2
NETWORK,14,16384,4,4,142410884,3,,,NETWORK,12,4096,4,16,13952225,2
NETWORK,14,16384,4,8,77841632,2,,,NETWORK,12,4096,4,32,22608210,2
NETWORK,14,16384,4,16,49633593,2,,,NETWORK,12,4096,4,64,RERUN,3
NETWORK,14,16384,4,32,54809687,3,,,NETWORK,12,4096,8,1,54840160,2
NETWORK,14,16384,8,1,280342793,3,,,NETWORK,12,4096,8,2,29516805,2
NETWORK,14,16384,8,2,143285956,3,,,NETWORK,12,4096,8,4,17228048,2
NETWORK,14,16384,8,4,75449264,2,,,NETWORK,12,4096,8,8,11941205,2
NETWORK,14,16384,8,8,43421987,2,,,NETWORK,12,4096,8,16,11402644,2
NETWORK,14,16384,8,16,30880092,3,,,NETWORK,12,4096,8,32,19177538,3
NETWORK,14,16384,8,32,38309790,4,,,NETWORK,12,4096,8,64,33609869,3
NETWORK,15,32768,1,1,4984088052,36,,,NETWORK,13,8192,1,1,946144187,8
NETWORK,15,32768,1,2,2501531418,19,,,NETWORK,13,8192,1,2,475632305,5
NETWORK,15,32768,1,4,1266229844,11,,,NETWORK,13,8192,1,4,241385627,3
NETWORK,15,32768,1,8,665632561,7,,,NETWORK,13,8192,1,8,128810006,2
NETWORK,15,32768,1,16,384446253,5,,,NETWORK,13,8192,1,16,77566389,2
NETWORK,15,32768,1,32,355602795,5,,,NETWORK,13,8192,1,32,78516842,2
NETWORK,15,32768,2,1,2497572816,19,,,NETWORK,13,8192,1,64,113307027,2
NETWORK,15,32768,2,2,1254123777,11,,,NETWORK,13,8192,2,1,475146126,5
NETWORK,15,32768,2,4,635088346,6,,,NETWORK,13,8192,2,2,239419712,3
NETWORK,15,32768,2,8,335856846,4,,,NETWORK,13,8192,2,4,122360430,2
NETWORK,15,32768,2,16,196784738,4,,,NETWORK,13,8192,2,8,66558992,2
NETWORK,15,32768,2,32,187824011,4,,,NETWORK,13,8192,2,16,42283541,2
NETWORK,15,32768,4,1,1254487465,11,,,NETWORK,13,8192,2,32,46937298,2
NETWORK,15,32768,4,2,630777675,7,,,NETWORK,13,8192,2,64,86047584,2
NETWORK,15,32768,4,4,321165984,4,,,NETWORK,13,8192,4,1,240029879,3
NETWORK,15,32768,4,8,171830768,3,,,NETWORK,13,8192,4,2,121920809,2
NETWORK,15,32768,4,16,103725014,3,,,NETWORK,13,8192,4,4,63497018,2
NETWORK,15,32768,4,32,104495685,4,,,NETWORK,13,8192,4,8,36017924,2
NETWORK,15,32768,8,1,634559442,6,,,NETWORK,13,8192,4,16,25187297,2
NETWORK,15,32768,8,2,321327753,4,,,NETWORK,13,8192,4,32,31615199,3
NETWORK,15,32768,8,4,165734198,3,,,NETWORK,13,8192,4,64,59200831,2
NETWORK,15,32768,8,8,91252856,3,,,NETWORK,13,8192,8,1,123698906,2
NETWORK,15,32768,8,16,58915523,4,,,NETWORK,13,8192,8,2,64376576,2
NETWORK,15,32768,8,32,64754850,6,,,NETWORK,13,8192,8,4,35187134,2
NETWORK,16,65536,1,1,11294264453,79,,,NETWORK,13,8192,8,8,21835924,2
NETWORK,16,65536,1,2,5667366870,41,,,NETWORK,13,8192,8,16,17778872,3
NETWORK,16,65536,1,4,2867920145,22,,,NETWORK,13,8192,8,32,28317290,4
NETWORK,16,65536,1,8,1503690923,13,,,NETWORK,13,8192,8,64,51715421,3
NETWORK,16,65536,1,16,861909150,9,,,NETWORK,14,16384,1,1,2181507167,16
NETWORK,16,65536,1,32,783996362,8,,,NETWORK,14,16384,1,2,1095407264,9
NETWORK,16,65536,2,1,5657064858,41,,,NETWORK,14,16384,1,4,554487434,5
NETWORK,16,65536,2,2,2839197593,22,,,NETWORK,14,16384,1,8,293216950,4
NETWORK,16,65536,2,4,1437385367,13,,,NETWORK,14,16384,1,16,171741539,3
NETWORK,16,65536,2,8,755588696,8,,,NETWORK,14,16384,1,32,164106114,3
NETWORK,16,65536,2,16,436169516,6,,,NETWORK,14,16384,1,64,204558879,3
NETWORK,16,65536,2,32,403229327,6,,,NETWORK,14,16384,2,1,1094033884,9
NETWORK,16,65536,4,1,2838600290,22,,,NETWORK,14,16384,2,2,549934940,5
NETWORK,16,65536,4,2,1425348091,12,,,NETWORK,14,16384,2,4,279482063,4
NETWORK,16,65536,4,4,722869106,8,,,NETWORK,14,16384,2,8,149134274,3
NETWORK,16,65536,4,8,382485251,6,,,NETWORK,14,16384,2,16,89910284,2
NETWORK,16,65536,4,16,224140466,5,,,NETWORK,14,16384,2,32,90883038,2
NETWORK,16,65536,4,32,213478631,5,,,NETWORK,14,16384,2,64,131264984,3
NETWORK,16,65536,8,1,1430539787,13,,,NETWORK,14,16384,4,1,550595498,5
NETWORK,16,65536,8,2,720983681,8,,,NETWORK,14,16384,4,2,277745492,4
NETWORK,16,65536,8,4,368038004,5,,,NETWORK,14,16384,4,4,142487906,3
NETWORK,16,65536,8,8,197704271,4,,,NETWORK,14,16384,4,8,77851028,2
NETWORK,16,65536,8,16,120345004,5,,,NETWORK,14,16384,4,16,49611257,2
NETWORK,16,65536,8,32,121046039,6,,,NETWORK,14,16384,4,32,54806063,3
NETWORK,17,131072,1,1,25408299138,174,,,NETWORK,14,16384,4,64,101387440,3
NETWORK,17,131072,1,2,12748078901,90,,,NETWORK,14,16384,8,1,280347248,4
NETWORK,17,131072,1,4,6463482374,48,,,NETWORK,14,16384,8,2,143286319,3
NETWORK,17,131072,1,8,3377493400,27,,,NETWORK,14,16384,8,4,75411968,2
NETWORK,17,131072,1,16,1928896595,17,,,NETWORK,14,16384,8,8,43417241,2
NETWORK,17,131072,1,32,1739105924,16,,,NETWORK,14,16384,8,16,30893634,3
NETWORK,17,131072,2,1,12722847554,90,,,NETWORK,14,16384,8,32,38283101,4
NETWORK,17,131072,2,2,6384215795,47,,,NETWORK,14,16384,8,64,75864795,4
NETWORK,17,131072,2,4,3231390134,26,,,NETWORK,15,32768,1,1,4984096760,35
NETWORK,17,131072,2,8,1693675706,16,,,NETWORK,15,32768,1,2,2501555802,19
NETWORK,17,131072,2,16,970754102,11,,,NETWORK,15,32768,1,4,1264582556,10
NETWORK,17,131072,2,32,882295802,10,,,NETWORK,15,32768,1,8,665651357,6
NETWORK,17,131072,4,1,6380315387,47,,,NETWORK,15,32768,1,16,384329093,5
NETWORK,17,131072,4,2,3201918041,26,,,NETWORK,15,32768,1,32,355543284,4
NETWORK,17,131072,4,4,1621612781,15,,,NETWORK,15,32768,1,64,402060741,5
NETWORK,17,131072,4,8,852663387,10,,,NETWORK,15,32768,2,1,2497572533,19
NETWORK,17,131072,4,16,492173184,8,,,NETWORK,15,32768,2,2,1254133715,10
NETWORK,17,131072,4,32,454462580,8,,,NETWORK,15,32768,2,4,635178902,6
NETWORK,17,131072,8,1,3208578533,26,,,NETWORK,15,32768,2,8,335823032,4
NETWORK,17,131072,8,2,1613333312,15,,,NETWORK,15,32768,2,16,196779668,3
NETWORK,17,131072,8,4,820801601,10,,,NETWORK,15,32768,2,32,187785747,3
NETWORK,17,131072,8,8,434381861,7,,,NETWORK,15,32768,2,64,234339405,4
NETWORK,17,131072,8,16,255785805,7,,,NETWORK,15,32768,4,1,1254466725,10
NETWORK,17,131072,8,32,243359015,8,,,NETWORK,15,32768,4,2,630759203,6
NETWORK,18,262144,1,1,56789552834,386,,,NETWORK,15,32768,4,4,321037229,4
NETWORK,18,262144,1,2,28491719264,197,,,NETWORK,15,32768,4,8,171821625,3
NETWORK,18,262144,1,4,14438342849,103,,,NETWORK,15,32768,4,16,103765319,3
NETWORK,18,262144,1,8,7542895079,57,,,NETWORK,15,32768,4,32,104455535,4
NETWORK,18,262144,1,16,4299559396,35,,,NETWORK,15,32768,4,64,150757678,4
NETWORK,18,262144,1,32,3859982399,32,,,NETWORK,15,32768,8,1,634557326,6
NETWORK,18,262144,2,1,28430807625,197,,,NETWORK,15,32768,8,2,321325779,4
NETWORK,18,262144,2,2,14265079666,102,,,NETWORK,15,32768,8,4,165765489,3
NETWORK,18,262144,2,4,7230259526,55,,,NETWORK,15,32768,8,8,91263628,3
NETWORK,18,262144,2,8,3778461785,32,,,NETWORK,15,32768,8,16,58921076,3
NETWORK,18,262144,2,16,2157754599,21,,,NETWORK,15,32768,8,32,64752584,4
NETWORK,18,262144,2,32,1944480023,19,,,NETWORK,15,32768,8,64,RERUN,4
NETWORK,18,262144,4,1,14251958293,102,,,NETWORK,16,65536,1,1,11294268551,79
NETWORK,18,262144,4,2,7150517531,54,,,NETWORK,16,65536,1,2,5667260852,41
NETWORK,18,262144,4,4,3632309519,31,,,NETWORK,16,65536,1,4,2866619535,22
NETWORK,18,262144,4,8,1897228990,19,,,NETWORK,16,65536,1,8,1503702128,13
NETWORK,18,262144,4,16,1087493416,14,,,NETWORK,16,65536,1,16,861950831,8
NETWORK,18,262144,4,32,987620750,13,,,NETWORK,16,65536,1,32,784018571,8
NETWORK,18,262144,8,1,7158157913,55,,,NETWORK,16,65536,1,64,838044179,8
NETWORK,18,262144,8,2,3595026665,30,,,NETWORK,16,65536,2,1,5657061251,41
NETWORK,18,262144,8,4,1827323819,19,,,NETWORK,16,65536,2,2,2839275290,22
NETWORK,18,262144,8,8,959044789,13,,,NETWORK,16,65536,2,4,1436995328,12
NETWORK,18,262144,8,16,555063782,10,,,NETWORK,16,65536,2,8,755565902,8
NETWORK,18,262144,8,32,511526319,11,,,NETWORK,16,65536,2,16,436191857,5
NETWORK,19,524288,1,1,126190318697,854,,,NETWORK,16,65536,2,32,403191031,5
NETWORK,19,524288,1,2,63311946908,439,,,NETWORK,16,65536,2,64,456700824,6
NETWORK,19,524288,1,4,32215152059,235,,,NETWORK,16,65536,4,1,2838624147,22
NETWORK,19,524288,1,8,16755499637,128,,,NETWORK,16,65536,4,2,1425296996,12
NETWORK,19,524288,1,16,9541434704,80,,,NETWORK,16,65536,4,4,722464600,7
NETWORK,19,524288,1,32,8546994071,74,,,NETWORK,16,65536,4,8,382489370,5
NETWORK,19,524288,2,1,63165758083,436,,,NETWORK,16,65536,4,16,224120869,4
NETWORK,19,524288,2,2,31691969952,223,,,NETWORK,16,65536,4,32,213490664,5
NETWORK,19,524288,2,4,16100747029,120,,,NETWORK,16,65536,4,64,266261204,5
NETWORK,19,524288,2,8,8388767570,67,,,NETWORK,16,65536,8,1,1430533421,12
NETWORK,19,524288,2,16,4780739882,43,,,NETWORK,16,65536,8,2,720986243,7
NETWORK,19,524288,2,32,4290148115,40,,,NETWORK,16,65536,8,4,368290563,5
NETWORK,19,524288,4,1,31654547538,223,,,NETWORK,16,65536,8,8,197674389,4
NETWORK,19,524288,4,2,15880443440,118,,,NETWORK,16,65536,8,16,120326477,4
NETWORK,19,524288,4,4,8061093902,65,,,NETWORK,16,65536,8,32,121055100,5
NETWORK,19,524288,4,8,4206130902,40,,,NETWORK,16,65536,8,64,172380171,5
NETWORK,19,524288,4,16,2401802648,27,,,NETWORK,17,131072,1,1,25408306125,174
NETWORK,19,524288,4,32,2162917184,26,,,NETWORK,17,131072,1,2,12748123106,89
NETWORK,19,524288,8,1,15886425422,118,,,NETWORK,17,131072,1,4,6449501927,47
NETWORK,19,524288,8,2,7974570618,65,,,NETWORK,17,131072,1,8,3377359656,27
NETWORK,19,524288,8,4,4062931015,39,,,NETWORK,17,131072,1,16,1928707625,17
NETWORK,19,524288,8,8,2117423129,26,,,NETWORK,17,131072,1,32,1739237417,15
NETWORK,19,524288,8,16,1214318444,20,,,NETWORK,17,131072,1,64,1802202566,16
NETWORK,19,524288,8,32,1100895151,19,,,NETWORK,17,131072,2,1,12722852273,90
NETWORK,20,1048576,1,1,278932152773,1882,,,NETWORK,17,131072,2,2,6384192737,47
NETWORK,20,1048576,1,2,139945126182,955,,,NETWORK,17,131072,2,4,3235364048,25
NETWORK,20,1048576,1,4,71533879212,499,,,NETWORK,17,131072,2,8,1693579183,15
NETWORK,20,1048576,1,8,37033239242,269,,,NETWORK,17,131072,2,16,970760384,10
NETWORK,20,1048576,1,16,21076356233,163,,,NETWORK,17,131072,2,32,882342359,10
NETWORK,20,1048576,1,32,18860145334,147,,,NETWORK,17,131072,2,64,943375487,10
NETWORK,20,1048576,2,1,139605812948,953,,,NETWORK,17,131072,4,1,6380319935,47
NETWORK,20,1048576,2,2,70044874211,489,,,NETWORK,17,131072,4,2,3201946415,25
NETWORK,20,1048576,2,4,35667767912,260,,,NETWORK,17,131072,4,4,1622593799,15
NETWORK,20,1048576,2,8,18534212373,146,,,NETWORK,17,131072,4,8,852690496,10
NETWORK,20,1048576,2,16,10552114406,92,,,NETWORK,17,131072,4,16,492180029,7
NETWORK,20,1048576,2,32,9447305264,85,,,NETWORK,17,131072,4,32,454581317,7
NETWORK,20,1048576,4,1,69944782928,489,,,NETWORK,17,131072,4,64,514796485,8
NETWORK,20,1048576,4,2,35088884276,256,,,NETWORK,17,131072,8,1,3208568969,25
NETWORK,20,1048576,4,4,17857299854,141,,,NETWORK,17,131072,8,2,1613299985,15
NETWORK,20,1048576,4,8,9286522145,83,,,NETWORK,17,131072,8,4,821601903,9
NETWORK,20,1048576,4,16,5290375868,57,,,NETWORK,17,131072,8,8,434355069,7
NETWORK,20,1048576,4,32,4744377875,53,,,NETWORK,17,131072,8,16,255814508,6
NETWORK,20,1048576,8,1,35084787905,256,,,NETWORK,17,131072,8,32,243305639,7
NETWORK,20,1048576,8,2,17607143787,140,,,NETWORK,17,131072,8,64,301758116,7
NETWORK,20,1048576,8,4,8995724175,81,,,NETWORK,18,262144,1,1,56789551794,385
NETWORK,20,1048576,8,8,4664313296,53,,,NETWORK,18,262144,1,2,28492300526,197
NETWORK,20,1048576,8,16,2663031149,39,,,NETWORK,18,262144,1,4,14461010024,104
NETWORK,20,1048576,8,32,2394045409,37,,,NETWORK,18,262144,1,8,7542975560,57
,,,,,,,,,NETWORK,18,262144,1,16,4299517082,35
,,,,,,,,,NETWORK,18,262144,1,32,3859885690,32
,,,,,,,,,NETWORK,18,262144,1,64,3936825495,33
,,,,,,,,,NETWORK,18,262144,2,1,28430816514,197
,,,,,,,,,NETWORK,18,262144,2,2,14264526046,102
,,,,,,,,,NETWORK,18,262144,2,4,7227450695,55
,,,,,,,,,NETWORK,18,262144,2,8,3778664774,32
,,,,,,,,,NETWORK,18,262144,2,16,2157722594,21
,,,,,,,,,NETWORK,18,262144,2,32,1944429348,19
,,,,,,,,,NETWORK,18,262144,2,64,2015431074,20
,,,,,,,,,NETWORK,18,262144,4,1,14251959215,102
,,,,,,,,,NETWORK,18,262144,4,2,7150299465,54
,,,,,,,,,NETWORK,18,262144,4,4,3621322688,31
,,,,,,,,,NETWORK,18,262144,4,8,1897248380,19
,,,,,,,,,NETWORK,18,262144,4,16,1087416914,14
,,,,,,,,,NETWORK,18,262144,4,32,987677462,13
,,,,,,,,,NETWORK,18,262144,4,64,1056790611,14
,,,,,,,,,NETWORK,18,262144,8,1,7158157325,55
,,,,,,,,,NETWORK,18,262144,8,2,3595192268,30
,,,,,,,,,NETWORK,18,262144,8,4,1829774285,19
,,,,,,,,,NETWORK,18,262144,8,8,959063711,13
,,,,,,,,,NETWORK,18,262144,8,16,555066792,10
,,,,,,,,,NETWORK,18,262144,8,32,511595757,11
,,,,,,,,,NETWORK,18,262144,8,64,577927017,12
,,,,,,,,,NETWORK,19,524288,1,1,126190000000,853
,,,,,,,,,NETWORK,19,524288,1,2,63312933149,434
,,,,,,,,,NETWORK,19,524288,1,4,32150654367,227
,,,,,,,,,NETWORK,19,524288,1,8,16755586247,124
,,,,,,,,,NETWORK,19,524288,1,16,9541294601,75
,,,,,,,,,NETWORK,19,524288,1,32,8546996855,68
,,,,,,,,,NETWORK,19,524288,1,64,8646045746,69
,,,,,,,,,NETWORK,19,524288,2,1,63165760816,433
,,,,,,,,,NETWORK,19,524288,2,2,31691396346,223
,,,,,,,,,NETWORK,19,524288,2,4,16105430999,119
,,,,,,,,,NETWORK,19,524288,2,8,8388749365,68
,,,,,,,,,NETWORK,19,524288,2,16,4780548689,43
,,,,,,,,,NETWORK,19,524288,2,32,4289954279,40
,,,,,,,,,NETWORK,19,524288,2,64,4376123564,41
,,,,,,,,,NETWORK,19,524288,4,1,31654554223,223
,,,,,,,,,NETWORK,19,524288,4,2,15880279265,118
,,,,,,,,,NETWORK,19,524288,4,4,8069583257,66
,,,,,,,,,NETWORK,19,524288,4,8,4206021560,39
,,,,,,,,,NETWORK,19,524288,4,16,2401893127,27
,,,,,,,,,NETWORK,19,524288,4,32,2163163058,26
,,,,,,,,,NETWORK,19,524288,4,64,2243081357,26
,,,,,,,,,NETWORK,19,524288,8,1,15886422433,118
,,,,,,,,,NETWORK,19,524288,8,2,7974564667,65
,,,,,,,,,NETWORK,19,524288,8,4,4059831764,39
,,,,,,,,,NETWORK,19,524288,8,8,2117363497,25
,,,,,,,,,NETWORK,19,524288,8,16,1214335814,19
,,,,,,,,,NETWORK,19,524288,8,32,1100969078,19
,,,,,,,,,NETWORK,19,524288,8,64,1176832792,21
,,,,,,,,,NETWORK,20,1048576,1,1,278932000000,1882
,,,,,,,,,NETWORK,20,1048576,1,2,139945000000,955
,,,,,,,,,NETWORK,20,1048576,1,4,71471944757,499
,,,,,,,,,NETWORK,20,1048576,1,8,37032094478,269
,,,,,,,,,NETWORK,20,1048576,1,16,21076206922,163
,,,,,,,,,NETWORK,20,1048576,1,32,18860405333,148
,,,,,,,,,NETWORK,20,1048576,1,64,18998875571,149
,,,,,,,,,NETWORK,20,1048576,2,1,139606000000,953
,,,,,,,,,NETWORK,20,1048576,2,2,70041935411,489
,,,,,,,,,NETWORK,20,1048576,2,4,35689565612,260
,,,,,,,,,NETWORK,20,1048576,2,8,18534702962,146
,,,,,,,,,NETWORK,20,1048576,2,16,10552000604,92
,,,,,,,,,NETWORK,20,1048576,2,32,9447181057,85
,,,,,,,,,NETWORK,20,1048576,2,64,9559179311,85
,,,,,,,,,NETWORK,20,1048576,4,1,69944781572,488
,,,,,,,,,NETWORK,20,1048576,4,2,35089618239,256
,,,,,,,,,NETWORK,20,1048576,4,4,17875303969,141
,,,,,,,,,NETWORK,20,1048576,4,8,9286962313,83
,,,,,,,,,NETWORK,20,1048576,4,16,5290502889,57
,,,,,,,,,NETWORK,20,1048576,4,32,4744548674,53
,,,,,,,,,NETWORK,20,1048576,4,64,4841494619,54
,,,,,,,,,NETWORK,20,1048576,8,1,35084785373,256
,,,,,,,,,NETWORK,20,1048576,8,2,17606936378,140
,,,,,,,,,NETWORK,20,1048576,8,4,8999465276,81
,,,,,,,,,NETWORK,20,1048576,8,8,4664516836,53
,,,,,,,,,NETWORK,20,1048576,8,16,2663058618,39
,,,,,,,,,NETWORK,20,1048576,8,32,2393897364,37
,,,,,,,,,NETWORK,20,1048576,8,64,2483832179,39
