SingleOrMulti,NormalOrRecOrRecLinear,lgN,RemapThreads,ComparisonThreads,SmartOrDumb,DatasetSize,NumNodes,lgN,lgP,lgE,starttime,startnlet1,endTime,endnlet2,Clock or Ticks is endtime sub startime,TotalTime,Result,real,user,sys
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,1,4,Smart,16,8,4,3,1,8.24E+11,0,8.24E+11,0,,3.221045,PASS,"real	0m34.669s","user	0m34.014s","sys	0m0.620s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,1,4,Dumb,16,8,4,3,1,8.31E+11,0,8.31E+11,0,,1.771354,PASS,"real	0m34.659s","user	0m34.004s","sys	0m0.619s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,1,5,Smart,16,8,4,3,1,8.37E+11,0,8.37E+11,0,,3.224171,PASS,"real	0m34.663s","user	0m34.020s","sys	0m0.616s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,1,5,Dumb,16,8,4,3,1,8.44E+11,0,8.44E+11,0,,1.770017,PASS,"real	0m34.663s","user	0m34.014s","sys	0m0.621s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,1,6,Smart,16,8,4,3,1,8.51E+11,0,8.51E+11,0,,3.223725,PASS,"real	0m34.662s","user	0m34.023s","sys	0m0.612s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,1,6,Dumb,16,8,4,3,1,8.58E+11,0,8.58E+11,0,,1.771897,PASS,"real	0m34.660s","user	0m34.004s","sys	0m0.620s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,1,7,Smart,16,8,4,3,1,8.64E+11,0,8.64E+11,0,,3.22372,PASS,"real	0m34.745s","user	0m34.093s","sys	0m0.622s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,1,7,Dumb,16,8,4,3,1,8.71E+11,0,8.71E+11,0,,1.771331,PASS,"real	0m34.661s","user	0m34.015s","sys	0m0.620s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,2,0,Smart,16,8,4,3,1,8.78E+11,0,8.78E+11,0,,3.220611,PASS,"real	0m34.741s","user	0m34.104s","sys	0m0.617s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,2,0,Dumb,16,8,4,3,1,8.85E+11,0,8.85E+11,0,,1.771897,PASS,"real	0m34.743s","user	0m34.095s","sys	0m0.620s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,2,1,Smart,16,8,4,3,1,8.91E+11,0,8.91E+11,0,,3.219497,PASS,"real	0m34.663s","user	0m34.018s","sys	0m0.620s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,2,1,Dumb,16,8,4,3,1,8.98E+11,0,8.98E+11,0,,1.853377,PASS,"real	0m34.662s","user	0m34.007s","sys	0m0.620s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,2,2,Smart,16,8,4,3,1,9.05E+11,0,9.05E+11,0,,3.220211,PASS,"real	0m34.743s","user	0m34.083s","sys	0m0.621s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,2,2,Dumb,16,8,4,3,1,9.12E+11,0,9.12E+11,0,,1.771422,PASS,"real	0m34.662s","user	0m34.013s","sys	0m0.621s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,2,3,Smart,16,8,4,3,1,9.18E+11,0,9.18E+11,0,,3.223737,PASS,"real	0m34.662s","user	0m34.017s","sys	0m0.619s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,2,3,Dumb,16,8,4,3,1,9.25E+11,0,9.25E+11,0,,1.770657,PASS,"real	0m34.663s","user	0m34.017s","sys	0m0.616s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,2,4,Smart,16,8,4,3,1,9.32E+11,0,9.32E+11,0,,3.223737,PASS,"real	0m34.663s","user	0m34.014s","sys	0m0.621s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,2,4,Dumb,16,8,4,3,1,9.39E+11,0,9.39E+11,0,,1.770365,PASS,"real	0m34.660s","user	0m34.016s","sys	0m0.616s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,2,5,Smart,16,8,4,3,1,9.45E+11,0,9.45E+11,0,,3.223491,PASS,"real	0m34.664s","user	0m34.016s","sys	0m0.617s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,2,5,Dumb,16,8,4,3,1,9.52E+11,0,9.52E+11,0,,1.770719,PASS,"real	0m34.662s","user	0m34.017s","sys	0m0.620s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,2,6,Smart,16,8,4,3,1,9.59E+11,0,9.59E+11,0,,3.219497,PASS,"real	0m34.664s","user	0m34.012s","sys	0m0.621s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,2,6,Dumb,16,8,4,3,1,9.66E+11,0,9.66E+11,0,,1.771428,PASS,"real	0m34.663s","user	0m34.010s","sys	0m0.621s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,2,7,Smart,16,8,4,3,1,9.72E+11,0,9.72E+11,0,,3.220542,PASS,"real	0m34.738s","user	0m34.094s","sys	0m0.620s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,2,7,Dumb,16,8,4,3,1,9.79E+11,0,9.79E+11,0,,1.770371,PASS,"real	0m34.661s","user	0m34.017s","sys	0m0.619s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,3,0,Smart,16,8,4,3,1,9.86E+11,0,9.86E+11,0,,3.222274,PASS,"real	0m34.662s","user	0m34.023s","sys	0m0.612s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,3,0,Dumb,16,8,4,3,1,9.92E+11,0,9.92E+11,0,,1.775114,PASS,"real	0m34.662s","user	0m34.014s","sys	0m0.621s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,3,1,Smart,16,8,4,3,1,9.99E+11,0,9.99E+11,0,,3.222731,PASS,"real	0m34.741s","user	0m34.094s","sys	0m0.619s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,3,1,Dumb,16,8,4,3,1,1.01E+12,0,1.01E+12,0,,1.852079,PASS,"real	0m34.738s","user	0m34.096s","sys	0m0.616s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,3,2,Smart,16,8,4,3,1,1.01E+12,0,1.01E+12,0,,3.223502,PASS,"real	0m34.740s","user	0m34.096s","sys	0m0.620s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,3,2,Dumb,16,8,4,3,1,1.02E+12,0,1.02E+12,0,,1.770639,PASS,"real	0m34.661s","user	0m34.017s","sys	0m0.616s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,3,3,Smart,16,8,4,3,1,1.03E+12,0,1.03E+12,0,,3.219114,PASS,"real	0m34.664s","user	0m34.019s","sys	0m0.618s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,3,3,Dumb,16,8,4,3,1,1.03E+12,0,1.03E+12,0,,1.770902,PASS,"real	0m34.740s","user	0m34.093s","sys	0m0.620s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,3,4,Smart,16,8,4,3,1,1.04E+12,0,1.04E+12,0,,3.221,PASS,"real	0m34.738s","user	0m34.090s","sys	0m0.620s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,3,4,Dumb,16,8,4,3,1,1.05E+12,0,1.05E+12,0,,1.77156,PASS,"real	0m34.662s","user	0m34.020s","sys	0m0.616s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,3,5,Smart,16,8,4,3,1,1.05E+12,0,1.05E+12,0,,3.223725,PASS,"real	0m34.662s","user	0m34.016s","sys	0m0.616s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,3,5,Dumb,16,8,4,3,1,1.06E+12,0,1.06E+12,0,,1.770165,PASS,"real	0m34.666s","user	0m34.012s","sys	0m0.619s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,3,6,Smart,16,8,4,3,1,1.07E+12,0,1.07E+12,0,,3.220988,PASS,"real	0m34.661s","user	0m34.015s","sys	0m0.617s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,3,6,Dumb,16,8,4,3,1,1.07E+12,0,1.07E+12,0,,1.775137,PASS,"real	0m34.663s","user	0m34.022s","sys	0m0.615s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,3,7,Smart,16,8,4,3,1,1.08E+12,0,1.08E+12,0,,3.220542,PASS,"real	0m34.661s","user	0m34.015s","sys	0m0.620s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,3,7,Dumb,16,8,4,3,1,1.09E+12,0,1.09E+12,0,,1.775137,PASS,"real	0m34.662s","user	0m34.009s","sys	0m0.619s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,4,0,Smart,16,8,4,3,1,1.09E+12,0,1.09E+12,0,,3.222274,PASS,"real	0m34.742s","user	0m34.101s","sys	0m0.619s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,4,0,Dumb,16,8,4,3,1,1.10E+12,0,1.10E+12,0,,1.77156,PASS,"real	0m34.661s","user	0m34.019s","sys	0m0.615s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,4,1,Smart,16,8,4,3,1,1.11E+12,0,1.11E+12,0,,3.219845,PASS,"real	0m34.661s","user	0m34.015s","sys	0m0.620s"
